Judge,Wine Frequency,IT frequency,Gender,Age,C_MERLOT,C_SYRAH,C_ZINFANDEL,C_REFOSCO,I_MERLOT,I_SYRAH,I_PRIMITIVO,I_REFOSCO
1,2,3,2,22,5,4,3,8,7,2,4,6
2,3,4,2,21,8,5,8,5,4,8,4,6
3,3,1,1,25,8,6,6,8,7,5,7,7
4,3,2,2,24,4,6,3,4,8,4,9,2
5,2,3,1,31,4,6,6,7,2,6,5,7
6,3,3,1,60,4,4,4,4,3,3,4,1
7,2,4,2,24,8,6,7,6,8,6,4,7
8,2,3,1,25,5,4,6,6,7,4,4,3
9,1,3,1,26,7,5,6,3,6,6,6,3
10,2,4,2,40,7,1,4,6,5,8,1,2
11,2,3,1,40,7,8,6,3,3,2,1,4
12,2,3,2,22,8,8,7,7,3,4,2,3
13,1,3,1,23,6,4,6,8,3,8,7,7
14,1,3,2,21,4,2,8,4,3,7,3,5
15,1,3,1,33,4,4,6,6,4,3,4,4
16,4,1,2,62,2,1,7,1,1,4,2,4
17,1,3,2,21,3,8,9,8,6,4,7,6
18,1,4,2,35,7,6,7,8,7,8,6,7
19,1,4,1,39,7,8,6,6,6,5,7,7
20,1,3,2,64,8,4,7,8,7,7,6,7
21,1,2,1,66,4,7,7,3,2,2,4,8
22,4,3,2,29,8,6,8,4,2,7,6,7
23,3,2,1,24,6,4,7,4,7,8,8,2
24,2,2,1,29,4,7,7,5,2,6,3,5
25,3,3,2,34,8,5,4,4,5,2,7,5
26,1,4,1,55,7,5,8,2,5,5,4,4
27,2,3,2,56,8,2,8,7,7,5,8,2
28,2,3,1,26,9,7,8,8,4,7,8,5
29,1,2,1,26,5,6,7,7,4,5,5,6
30,1,3,1,30,5,4,4,4,3,7,1,2
31,3,3,1,24,4,8,7,5,4,2,3,6
32,3,3,2,22,7,5,1,5,6,4,4,2
33,3,2,1,23,4,3,4,5,2,4,6,6
34,3,3,1,25,7,3,6,2,6,8,7,3
35,2,3,1,28,5,6,6,4,2,3,4,2
36,2,2,1,35,5,6,4,5,3,6,6,3
37,2,4,2,50,2,7,6,2,3,7,6,5
38,2,3,1,50,6,7,5,7,4,3,2,4
39,1,3,2,46,8,7,5,4,6,5,4,2
40,2,2,1,49,5,6,4,6,2,3,1,1
41,2,3,2,45,6,6,8,6,4,6,2,2
42,2,3,1,45,7,7,5,4,7,6,5,6
43,2,3,2,28,7,2,5,6,3,3,3,4
44,1,3,2,27,6,7,8,5,4,7,4,7
45,1,3,1,61,6,7,7,7,7,7,8,8
46,1,2,2,23,2,8,6,3,2,6,6,8
47,1,3,1,29,4,6,5,3,4,2,2,3
48,4,3,2,32,8,8,7,9,8,8,3,8
49,3,3,1,34,5,7,9,6,5,4,4,4
50,3,3,2,28,3,3,3,2,3,3,4,2
51,2,3,2,66,8,7,8,8,3,7,7,4
52,3,3,2,49,4,5,5,5,4,3,5,4
53,3,2,1,48,3,4,4,3,2,3,4,3
54,2,1,1,32,6,8,7,3,2,8,6,6
55,2,2,1,62,6,3,6,5,8,6,6,7
56,1,4,2,26,5,2,7,2,6,2,1,6
57,2,3,2,27,5,6,6,6,3,7,3,2
58,1,2,1,66,4,5,3,4,3,5,4,6
59,1,2,2,64,8,8,5,7,5,3,6,3
60,2,2,2,54,2,5,6,2,4,6,3,6
61,2,3,2,24,5,7,4,3,3,6,4,3
62,2,5,2,46,6,5,2,2,4,5,4,2
63,2,3,2,67,7,4,5,2,3,3,7,2
64,2,3,2,29,5,8,8,9,6,8,3,6
65,2,3,1,26,8,5,5,5,8,8,8,7
66,1,3,1,57,7,7,9,6,8,3,8,2
67,3,3,2,24,3,3,6,4,6,7,6,2
68,3,2,1,25,4,3,7,5,2,7,5,8
69,2,3,1,55,7,9,7,9,7,7,6,9
70,3,2,2,53,8,4,2,7,7,6,6,2
71,2,2,1,53,4,4,6,2,6,4,1,2
72,3,3,1,50,6,4,6,6,5,4,4,3
73,2,3,2,49,3,5,2,4,5,6,7,7
74,4,2,2,48,6,4,7,6,5,7,3,7
75,3,3,2,26,6,6,6,7,4,3,4,4
76,2,3,2,47,7,4,7,5,4,4,7,6
77,1,3,1,52,8,8,7,8,4,5,6,7
78,3,3,1,27,8,9,2,7,3,7,6,6
79,1,3,1,31,5,7,8,8,4,6,6,3
80,2,2,2,47,6,4,8,6,5,8,8,5
81,1,3,1,61,6,5,8,3,4,6,7,5
82,1,2,2,62,8,8,6,7,7,3,6,5
83,2,2,2,54,7,6,6,3,7,4,8,8
84,1,2,1,35,8,7,8,8,8,4,6,8
85,1,3,2,38,6,6,6,6,4,8,8,6
86,2,3,2,26,7,8,6,4,6,2,5,3
87,1,4,2,53,5,7,4,7,3,6,6,8
88,4,3,1,39,8,9,7,4,6,7,3,2
89,3,3,1,28,6,3,8,5,2,6,8,9
90,2,2,1,47,8,9,9,9,4,7,7,9
91,3,2,2,54,3,2,6,9,6,8,6,7
92,3,2,1,27,7,4,7,7,1,4,6,2
93,3,2,1,60,2,3,3,7,4,3,4,7
94,1,2,1,58,5,3,8,6,8,3,4,7
95,1,2,1,62,4,4,7,4,5,6,6,5
96,2,3,2,47,6,9,6,7,4,6,6,7
97,1,1,1,23,3,4,5,7,4,1,2,2
98,1,3,2,34,8,8,4,7,3,8,7,5
99,1,3,1,23,7,2,8,6,1,4,4,1
100,1,3,1,21,6,6,8,8,6,6,3,4
101,2,2,1,21,7,8,7,4,2,5,4,2
102,2,3,2,35,7,7,8,7,6,6,7,6
103,2,2,2,21,3,3,6,7,1,4,8,3
104,3,2,1,55,7,7,7,7,6,7,7,7
105,1,4,1,35,7,7,7,3,6,4,3,7
106,4,3,2,39,4,7,5,9,3,7,5,6
